"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDEX_TYPE","COICOP_1999","TYPE_OF_TRANSFORMATION","FREQUENCY","SCALE","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"IMF.STA:CPI(5.0.0)","USA.CPI.CP10.IX.A","OBS_VALUE","United States","Consumer price index (CPI)","Education","Index","Annual","Units","115.9650340792971","120.1568304777578","123.5310475395957","126.4141455986423","129.3128619467054","133.064108314739","135.6816002270366","137.6002689393182","142.5216489484796","145.9416733092012","150.6056372500002",""
"IMF.STA:CPI(5.0.0)","USA.CPI.CP02.IX.A","OBS_VALUE","United States","Consumer price index (CPI)","Alcoholic beverages, tobacco and narcotics","Index","Annual","Units","108.1712604065412","110.0312497489576","112.5441722922463","116.5005101180099","119.5429199815411","123.4290998447777","127.6418801976919","133.3368144536114","140.3651962950169","147.078313602522","153.6597731559211",""
"IMF.STA:CPI(5.0.0)","USA.CPI.CP10.POP_PCH_PA_PT.A","OBS_VALUE","United States","Consumer price index (CPI)","Education","Period average, Period-over-period percent change","Annual","Units","3.278435470273218","3.614707167329716","2.808177486391421","2.333905618441772","2.293031633711593","2.900907389691543","1.967090859772943","1.414096464864126","3.576577318560134","2.399652534161958","3.195772554229684",""
"IMF.STA:CPI(5.0.0)","USA.CPI.CP10.YOY_PCH_PA_PT.A","OBS_VALUE","United States","Consumer price index (CPI)","Education","Period average, Year-over-year (YOY) percent change","Annual","Units","3.278435470273218","3.614707167329716","2.808177486391421","2.333905618441772","2.293031633711593","2.900907389691543","1.967090859772943","1.414096464864126","3.576577318560134","2.399652534161958","3.195772554229684",""
"IMF.STA:CPI(5.0.0)","USA.CPI.CP01.YOY_PCH_PA_PT.A","OBS_VALUE","United States","Consumer price index (CPI)","Food and non-alcoholic beverages","Period average, Year-over-year (YOY) percent change","Annual","Units","2.407605049911218","1.167710534044164","-1.325348967551435","-0.2021815396274888","0.4555646829991004","0.8851312740151962","3.505030207025687","3.469165181772155","11.43888507698044","4.944268537209466","1.166139683295299",""
"IMF.STA:CPI(5.0.0)","USA.CPI.CP08.YOY_PCH_PA_PT.A","OBS_VALUE","United States","Consumer price index (CPI)","Communication","Period average, Year-over-year (YOY) percent change","Annual","Units","-0.04913677512846218","-1.700051660639602","-0.5506312000047505","-5.483101937283149","-1.265205232881598","-0.5365879944943573","2.362062284321631","1.817033557034938","-0.4300501152439049","0.180603006982541","-1.353979705761834",""
"IMF.STA:CPI(5.0.0)","USA.CPI.CP03.POP_PCH_PA_PT.A","OBS_VALUE","United States","Consumer price index (CPI)","Clothing and footwear","Period average, Period-over-period percent change","Annual","Units","0.3951694145837481","-0.9987355791187303","-0.02269052954021331","-0.3733105486514277","0.3271378702705169","-0.9156038327136696","-4.453169100115386","2.39402367041304","5.415234270046053","2.684160780062512","0.9523741332289677",""
"IMF.STA:CPI(5.0.0)","USA.CPI.CP03.IX.A","OBS_VALUE","United States","Consumer price index (CPI)","Clothing and footwear","Index","Annual","Units","106.7175327622722","105.6517067934177","105.627733861678","105.2334143888709","105.5776727395156","104.6109995214227","99.95249481541285","102.3453812004622","107.8876233570389","110.7835006297301","111.8385740336132",""
"IMF.STA:CPI(5.0.0)","USA.CPI.CP08.POP_PCH_PA_PT.A","OBS_VALUE","United States","Consumer price index (CPI)","Communication","Period average, Period-over-period percent change","Annual","Units","-0.04913677512846218","-1.700051660639602","-0.5506312000047505","-5.483101937283149","-1.265205232881598","-0.5365879944943573","2.362062284321631","1.817033557034938","-0.4300501152439049","0.180603006982541","-1.353979705761834",""
"IMF.STA:CPI(5.0.0)","USA.CPI.CP08.IX.A","OBS_VALUE","United States","Consumer price index (CPI)","Communication","Index","Annual","Units","99.76284151279348","98.06682166895398","97.5268351519917","92.1793393644019","91.0130815391278","90.52471627016948","92.66296645117632","94.34668364653822","93.94094562478748","94.11060579737368","92.83636729390772",""
"IMF.STA:CPI(5.0.0)","USA.CPI.CP03.YOY_PCH_PA_PT.A","OBS_VALUE","United States","Consumer price index (CPI)","Clothing and footwear","Period average, Year-over-year (YOY) percent change","Annual","Units","0.3951694145837481","-0.9987355791187303","-0.02269052954021331","-0.3733105486514277","0.3271378702705169","-0.9156038327136696","-4.453169100115386","2.39402367041304","5.415234270046053","2.684160780062512","0.9523741332289677",""
"IMF.STA:CPI(5.0.0)","USA.CPI.CP07.IX.A","OBS_VALUE","United States","Consumer price index (CPI)","Transport","Index","Annual","Units","111.5881091998778","100.405514111359","96.7567126298246","99.29647291695902","103.279977178939","102.8036517366662","98.43362033936238","113.9904661531928","132.9237833430102","129.7482803945255","125.6954323939825",""
"IMF.STA:CPI(5.0.0)","USA.CPI.CP04.YOY_PCH_PA_PT.A","OBS_VALUE","United States","Consumer price index (CPI)","Housing, water, electricity, gas and other fuels","Period average, Year-over-year (YOY) percent change","Annual","Units","2.969429592195154","2.331401475237076","2.847277242168855","3.457183212675761","3.16282927980157","3.04095219852127","2.58817325832327","3.020479426523716","6.895679967255103","6.943748392824625","5.105298537456999",""
"IMF.STA:CPI(5.0.0)","USA.CPI.CP05.YOY_PCH_PA_PT.A","OBS_VALUE","United States","Consumer price index (CPI)","Furnishings, household equipment and routine household maintenance","Period average, Year-over-year (YOY) percent change","Annual","Units","-1.445850659171736","-0.7351200905226436","-1.164766671749791","-0.9007695796124692","0.548453774963675","1.748028303121576","1.747593223189165","4.405128353448102","9.159811720829579","2.631796469185859","-0.5900517778912794",""
